"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14764","User can update their dob","","Thu Jun 19 08:12:32 GMT 2025","passed","Thu Jun 19 08:12:47 GMT 2025","","","",""
"","3673","User can log out of the app","","Thu Jun 19 08:12:28 GMT 2025","passed","Thu Jun 19 08:12:31 GMT 2025","","","",""
"","4205","User can log in with valid credentials","","Thu Jun 19 08:12:23 GMT 2025","passed","Thu Jun 19 08:12:27 GMT 2025","","","",""
