"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4629","User can log out of the app","","Thu Jun 19 07:39:10 GMT 2025","passed","Thu Jun 19 07:39:15 GMT 2025","","","",""
"","3752","User can log in with valid credentials","","Thu Jun 19 07:39:06 GMT 2025","passed","Thu Jun 19 07:39:10 GMT 2025","","","",""
"","12853","User can update their dob","","Thu Jun 19 07:39:15 GMT 2025","failed","Thu Jun 19 07:39:28 GMT 2025","","","",""
